user	tweets	stance	stance (A2)		
1713	British allies agree we’re #StrongerIn. USA, Oz, New Zealand &amp; now Japan.Putin, Trump &amp; Le Pen want us out on our own. Who would you trust?  |  NI farmers have too much to lose in this #EUref. Vital to know the facts and #VoteRemain. At @balmoralshow today! https://t.co/dJ5nXJc0rx  |  Our team got great weather and a great response talking to people in Ards about how Northern Ireland is #StrongerIN https://t.co/oiAT39PHkT  |  Why not get involved and help spread the word that Northern Ireland is #StrongerIN Europe? Join the campaign at https://t.co/lrssyyyPje  |  Great seeing #StrongerIN posters appear in shop windows. If you'd like one for your home or business message us! https://t.co/jzqTBOHOzw  |  A recent Aston University survey of 10,000 small businesses found that only 6% wanted to leave the EU. NI businesses are #StrongerIN Europe.  |  Our volunteers had lots of positive conversations with voters in #Bangor market and town centre today! #StrongerIN https://t.co/nUbSTHMWo1  |  Wind and drizzle in Holywood made worthwhile by the very pro-Remain response! Thanks to our volunteers! #StrongerIN https://t.co/R2xSwehEEE  |  Great team out now in Antrim. Drop down to hear about why we're #StrongerIn https://t.co/L3fBmr2UaD  |  Our team got a fantastic response in Downpatrick today! Great to be joined by @ColinSDLP &amp; @Paddy_JBrown #StrongerIN https://t.co/g9jmQC0lfr  |  Backing #Brexit is a vote for recession which could kill up to 15,000 jobs in Northern Ireland. #StrongerIN https://t.co/vCUCDne93v  |  The General Assembly of the Church of Scotland has backed the case for #Remain #EUref #EUreferendum https://t.co/Eex0TMFQ5Q  |  Paul Johnson, Director of IFS: You cannot get a better trading relationship with the EU than the one we already have #StrongerIn  |  PM warns that leaving the EU would put pensions at risk, harming people’s financial security:  https://t.co/zceM2jq3CT #StrongerIn  |  Average pensioner’s wealth could be hit by £32,000 if we leave the EU: https://t.co/LAXjZBtEJd #StrongerIn  |  Great having UUP's @1PhilipSmith MLA with the team campaigning in Newtownards market today. #StrongerIN https://t.co/F6xAXX4Ddw  |  Our team in #Belfast have been having lots of positive conversations with voters about why we're #StrongerIN Europe! https://t.co/z4czQug5up  |  Fantasy economics: Vote Leave have made £111bn in spending commitments - 10 times over the net £10bn saving they claim we'd make #StrongerIn  |  Vote Leave claims unravelling – Gove now backpedals on claims ‘savings’ will be spent on cutting VAT #StrongerIn  |  .@vote_leave commit to spend contribution on NHS. Now claim it won’t necessarily be spent there. Can’t trust leave campaigners #StrongerIn  |  New TUC report reveals the average worker will be £38 a week worse off by 2030 if Britain leaves the EU: https://t.co/5aCiQ8vYBq #StrongerIn  |  A must read: @FrancesOGrady on what the EU has done for workers &amp; why leaving risks £38 a week wage cuts https://t.co/5aCiQ8vYBq #StrongerIn  |  Andrew Green of Migration Watch says Australian Points Based System "is not a good model for the UK" #StrongerIn  |  Australian Points Based System wouldn't work -  Australia, the USA and Canada have higher levels of immigration than the UK #StrongerIn  |  Glyn Roberts from @NIIRTA at "Competing Visions" #EUref event says economic growth in NI best served remaining in EU https://t.co/BsSvGsomx0  |  Voter registration closes in 5 days. Make sure you don’t miss out: https://t.co/VjYND4SoYZ #StrongerIn https://t.co/gBUz5osA60  |  Lord Mandelson talks to @BBCnireland @JP_Biz on the economic benefits to Northern Ireland of #VoteRemain @StrongerIn https://t.co/E3pBupiLFf  |  General-Secretary of UNISON says myths of leave campaigners over the NHS should not be believed: https://t.co/jFw6k0yHAD #StrongerIn  |  The Rainbow Project's Malachai O'Hara says EU legislation been instrumental in the fight for equality #StrongerIN https://t.co/nsJtf4CYXm  |  Great team of volunteers out talking to the good people of Bangor about why we're better off and #StrongerIN Europe https://t.co/9bTEaMNkZ6  |  Lots of positive conversations and "I'm IN"s for our amazing volunteers in Lisburn! #StrongerIN #EUref https://t.co/Z3sfRHcFF8  |  Great day at Ballymoney Show. Nice weather and a good reception #StrongerIn https://t.co/CTlCHyxBRT  |  Don't miss out register to vote by June 7th #StrongerIn https://t.co/aM0n6F7dN2  |  Thanks to our volunteers campaigning across NI today, registering new voters &amp; spreading the #StrongerIN message! https://t.co/RHtmt5pdxl  |  We were with @George_Osborne in Belfast today to help spread the message that we are #StrongerIn https://t.co/ae1IlWpaK9  |  Martin Lewis explains why he'll be voting remain. Read UK's most trusted financial expert here https://t.co/ylYNuOlMBF #StrongerIn  |  No spin, no bias, just the facts. Find out why UK's most trusted financial expert will vote remain https://t.co/ylYNuOlMBF #StrongerIn  |  UK's most respected independent financial adviser will vote remain. Find out why https://t.co/ylYNuOlMBF #StrongerIn  |  .@NickyMorgan01 and @stellacreasy accuse @vote_leave of 'underhand tactics' with misleading website: https://t.co/61aWkX5vkq #StrongerIn  |  Reality Check 4: The possibility of UK leaving the EU has hit the value of the pound. This will mean higher prices in the shops #StrongerIn  |  Reality Check 2: WTO heads say getting a trade deal after leaving EU would take “decades” and would be “high-risk” #StrongerIn  |  Reality Check 1: Janet Yellen (chair of US Federal Reserve) warns of 'significant economic repercussions' if Britain leaves EU #StrongerIn  |  Reality Check 3: Chairman of Hitachi (employer of 3,600 in UK) warns jobs &amp; investment could be lost if we vote to leave EU #StrongerIn  |  William Hague says the economy would be hit, with prices higher and fewer jobs, if we leave the EU: https://t.co/KcA2ezMWKQ #StrongerIn  |  Overwhelmingly pro-Remain response for our canvassing team in Ballyhackamore! #StrongerIN https://t.co/J9zI99aIxN  |  In the #ITVEURef @vote_leave were evasive over workers’ rights – they secretly support scrapping them #StrongerIn  |  In the #ITVEURef, @vote_leave could not back up their argument on the NHS – the economy would be hit, hitting the NHS #StrongerIn  |  In the #ITVEURef @BorisJohnson was called out for being after one thing – the PM’s job #StrongerIn  |  Thanks to volunteers braving the weather to hand out leaflets at (EU funded!) Bangor train station 👍🏻 #StrongerIN https://t.co/DxcfgSRc6t  |  Naomi Long MLA has joined our street stall in east Belfast today #StrongerIn https://t.co/l1CyZWQbdW  |  #StrongerIN message very well received in sunny Newry! Great to have @JustinMcNu1ty MLA help spread the word #EUref https://t.co/qm5tjI8C1q  |  Thanks to our volunteers in Ards &amp; Ballycastle - we are stronger, safer and better off IN Europe #VoteRemain #EUref https://t.co/sbNMMwYv4R  |  Thanks to our amazing volunteers who canvassed, leafleted and ran street stalls right across NI yesterday! #EURef https://t.co/O67dx707I9  |  .@OfficeGSBrown says for jobs, workers' rights &amp; our place in the world, we should vote to remain: https://t.co/g0bQ4vP3FC #StrongerIn  |  .@Nigel_Farage shock admission: “if sterling were to fall a few percentage points after Brexit, so what” #StrongerIn https://t.co/QBIBYpb1LG  |  .@Nigel_Farage doesn’t care about cost if we leave the EU – he can’t be trusted with the economy? #StrongerIn https://t.co/QBIBYpsCDe  |  28 politicians and trade unionists say the public service sector could be hit if we leave the EU: #StrongerIn  |  Dr Budd is an OU colleague with an impeccable record on this. I agree with him totally #VoteRemain @NIstrongerin https://t.co/9bEOThPmVR  |  Health workers, @FrancesOGrady, @daveprentis and @jeremycorbyn share why the NHS is #StrongerIn https://t.co/kQ2keCZvua  |  Leaving the EU would damage the economy, leading to cuts on services, damaging the NHS. The NHS is #StrongerIn  |  Actor @IdrisElba says he wants Britain to remain in the EU: https://t.co/fAF7ZhnFzG #StrongerIn https://t.co/HApKqxk21a  |  Thanks to our canvassers in sunny Bangor. Lots of support for Remain! #StrongerIN #EUref https://t.co/jtA3KQfzF4  |  On June 23rd, voters can listen to economic experts like Bank of England and IFS, or take a leap in the dark with Leave campaign #StrongerIn  |  Leave campaign refuse to listen to economic experts like Bank of England or IFS because all agree leaving would wreck UK economy #StrongerIn  |  .@richardbranson: Leaving Europe "would deal a devastating blow to the economy, killing many jobs" #StrongerIn https://t.co/O94WEzAQnz  |  Why are #StudentsIN?   Ethan's voting #Remain for jobs, travel &amp; study opportunities.   We're #StrongerIN https://t.co/OAzWwV5VA8  |  Why are you voting #Remain on Thursday?  Matthew says we're #StrongerIN for peace &amp; prosperity! #EUref https://t.co/S0LoOybr9M  |  Why are you voting to #Remain?  Jo's #IN for workers rights, women's rights &amp; combating climate change! #StrongerIN https://t.co/pUHlUrdlPa  |  Why are you voting to #Remain in the EU? Record a 15-20 second clip &amp; tweet it to us so we can share it! #StrongerIN https://t.co/FoqxmZUQGO  |  Great work folks, lots of momentum today, let's keep it going 👍🏼 #StrongerIN #EUref 🗳 https://t.co/rePATeILoR  |  Manchester United legend David Beckham believes we are #StrongerIn https://t.co/F0iEDXLLKp https://t.co/V9T4amVxTJ  |  Enthusiastic #StrongerIN volunteers out in Banbridge today! #EUref https://t.co/KtrZXDgXsr  |  Grace is voting #Remain for a strong economy, a safer society &amp; for greater opportunities. #StrongerIN #EUref https://t.co/9OcEmTkJ1G  |  Very sensible folks! Remember that it's their future we're voting for tomorrow! #StrongerIN #EUref  https://t.co/0uxub1s75i  |  Don’t miss out on your chance to decide the future. Vote REMAIN for more jobs and lower prices #StrongerIn  |  #VoteRemain today to support jobs, security and a stronger future #StrongerIn https://t.co/Kk2gGWqzaB	-1	-1		
5547	Well, Osborne was right about one thing: #BBCDebate #VoteLeave https://t.co/zgHJsf1Iyy	1	1		
3503	Cameron, UK is 'stronger, safer and better off' if we're in the EU - fully agree #andrewmarr #StrongerIn #VoteRemain	-1	-1		
6168	UK factory orders defy Brexit nerves, improve in June - CBI  https://t.co/g0YitGqBQj #lbc #voteleave #wales #scotland #england #powys	1	1		
4584	The greatest risk of all is appeasement. Let's stop history repeating on 23 June. #VoteLeave #BrexitRisks #Brexit https://t.co/LpQvPDYoJc  |  @pcs_union please rethink your #Remain advice to members it may cost union dear otherwise - just some wisdom from me https://t.co/ZeQtjuQCGv  |  'Politics for sale' again! #StrongerIn or #VoteLeave and #TakeControl https://t.co/qDjjgtlmxl  |  Three EU stooges trying to persuade us to remain. Don't listen it's time to #LeaveEU #VoteLeave #EUreferendum https://t.co/RCNIORrF9W  |  Who else has received EU payoffs to regurgitate EU propaganda? #VoteLeave #Brexit #LabourIn #StrongerIn #Remain  https://t.co/I2HmyZSCE0  |  WATCH: Britain's Top Investor Jim Mellon backs Boris and Gove on Euro Concerns https://t.co/NCLzNIRW8H #VoteLeave https://t.co/EDFozsBKd5  |  I believe in democracy &amp; independence... You need to be able to get rid of MP,PM when we want to !#VoteLeave https://t.co/OkKQQuqRf8  |  Lot of women on Twitter responding very positively to @andrealeadsom , quite rightly  #ITVEURef  |  In the last week of #EUref what other nasties are they going to pull out of the pandoras box #voteleave https://t.co/MOm4DpfzH3  |  #EducatingJoey 'We are all Remainers.' AKA these guys. ;) #LeaveEU #Brexit #VoteLeave #EURef https://t.co/kA4ySh1MNQ  |  @jezz455 @LouiseMensch Don't forget Cameron's lackey's did write the speech for Obama #BackOfTheQueue #VoteLeave  |  The President of Iceland says #Brexit is good news and offers great opportunities for both Iceland and Britain.  https://t.co/mOTuN68qAX	1	1		
1889	The HK view. #Brexit brigade is living in a fantasy world with its dreams of go-it-alone Britain https://t.co/1LVGXaK52j via @SCMP_News  |  At least something positive came out of tonight. #StrongerIn #YNWA https://t.co/XzgHL9k5Fo  |  Damn right. The Beeb certainly should if it wants to establish credibility as a Murdoch-free zone. #StrongerIN https://t.co/YlYa4h0PiU  |  An example of our commonwealth partners working with, dare I say the EU/ Europe. #brexit nightmare. #strongerIN https://t.co/K0eYUy6D6W  |  Strong positive case why we are better off in the EU from @NicolaSturgeon #StrongerIn #ITVEURef  |  Nicola Sturgeon to Boris Johnson: "Bit rich for man who says we should pay for the NHS now trying to defend the NHS." #ITVEURef #VoteRemain  |  @VoteLeave is now annoying Japan and using #corporate logos without permission. #VoteRemain #StrongerIn https://t.co/QZoanpbFrP  |  Strip these idiots of UK nationality and don't let them back in. Violent racist dickheads not welcome here. #Remain https://t.co/sstgF5oiss  |  Farage the #brexit political hooligan is seriously dividing this county. #strongerIN https://t.co/FwwUCjc3Ql  |  Shocking. @Nigel_Farage completely clueless about the root cause of most problems as usual. #StopTheHate #VoteRemain https://t.co/LA2VTDjE80  |  For the sake of the UK, our way of life and shared, common values we must reject #Faragism on Thurs. #VoteRemain https://t.co/xYqqeFFjAC  |  Farage will make UK less democratic &amp; prosperous due to a #brexit. Love Europe traditions, diversity &amp; culture #stay https://t.co/yGkeWHuNaj  |  Done it went out and #VotedRemain - from conversations I had in this Eurosceptic area things are looking positive for #Remain  |  Time is running out. Michael Gove &amp; the leave campaign are jeopardising our future. RT if you’re #INtogether #iVoted https://t.co/T1WMv6gXSY  |  Not surprised. Many people now wish they had voted #Remain We should listen and give them a second chance https://t.co/DxFM7xvd17  |  This is scary and #NotInOurName We need to #TakeOurCountryBack and #TakeControl back from these extremist terrorists https://t.co/qbf1pb3vbd  |  Why the North of England will regret voting for #Brexit https://t.co/AYqxtcKk2N #regret  |  #brexit Voter. LBC Caller Says He Regrets Voting #Leave Because His Housemates Speak Hungarian https://t.co/rvfWLbLUMN via @audioBoom  |  In case people still can't understand #LeaveLies , here is what I added to FB to help explain them. https://t.co/Tr5SM1Zjb9  |  #brexit turmoil. Britons urged to wear safety pins in solidarity with immigrants https://t.co/MJQ5tc1HAr  |  #Boris is more than a prick, he is devoid of responsibility, accountability and balls. https://t.co/g2rjWHKNHA  |  Yup. What cheaper food @andrealeadsom and @Arron_banks ?  And how does this work with a lower pound?  #LeaveLies  https://t.co/DthbRRgI7e  |  One of the core #Leave arguments for #Brexit falls to shreds. So yet another broken promise from #LeaveLies https://t.co/woVWJAyX9S  |  Why were they welcome then but their grandchildren not now? #Respect #thefew #RemainINEU thank you Poland https://t.co/ZUNkRajnJg  |  Run away e lot of them #BrexitCowards We now have green light to #Remain  https://t.co/ZhqEFxxvur  |  There appears to be a lot of silence on this one...  ...oh yes. All the #Brexiters ran home to Mummy. Too scary! https://t.co/Al7vdYjSP7  |  Damn right on this one. No one should vote for #Brexit MP.s To do so will ruin the country more (&amp; they'll run away) https://t.co/uqAoNyxVKa  |  @AngieMeader Yes, it's called the EU. It's a great support group of nations. I've heard it stops wars too. Have the #Brexiters heard of it?  |  Kind of proves that #Bregret runs deep and that #UKIP's #LeaveLies can fool a lot of otherwise sane people. https://t.co/guZc91lPPT  |  OK... so some #Brexiters want to be ruled by China, others want to have an autocracy it would seem. #NotInMyName https://t.co/Vz9IyRnYq8  |  Very good point. What is #Brexit? No-one can answer that one, so by process of elimination #Remain is best for UK. https://t.co/3dev2OnIdA  |  Past 2021 the majority will be pro #Remain so why go through the 4 years of madness only to overturn it? https://t.co/0UBBw2rKZJ  |  Of course #Boris is humbled, it's a much humbler position than PM or Dark Emperor. https://t.co/Lee3U24c8j  |  #Boris got something right for once.  Now, #ForeignSecretary please either fix these problems or resign. Tomorrow. https://t.co/HR0t0UWG9o  |  So no #Brexit without Scottish approval, basically. So no #Brexit Quashes  what Davis said re. Art50 by January. https://t.co/rtEvuvGsLZ  |  Any country with coups every 10 years or so is a million light years from joining. Still #Brexiters believe anything https://t.co/tvrgYkgTtk  |  Yes, @PennyMordauntMP high time to admit you were scaremongering, talking utter crap &amp; pedaling #LeaveLies all along https://t.co/WWroztUmrM  |  Boycott the #dailymail it incites racial hatred and is packed full of #BigFibs and #LeaveLies  https://t.co/Roxm1np074	-1	-1		
4727	@annafbeswick @SJ_Powell @David_Cameron @TurnbullMalcolmEmpty rhetoric we know politicians always side with the winners #Brexit #VoteLeave  |  @liarpoliticians @annafbeswick  Assumed Lagarde was here to give the #AntiCorruptionSummit the benefit of her experience #VoteLeave #Brexit  |  Me too, I am sorry I voted to join, but I am trying to make up for it now. #VoteLeave &amp; #Brexit @Grassroots_Out    https://t.co/1en10yxWCy  |  @Y_Eurosceptics very well put ... the UK can excell post #Brexit #VoteLeave and #TakeControl  |  #ItsOfficiallySummerWhen you have watched this https://t.co/qdlNbV6OoK and then #VoteLeave  |  He is lying to the country for hie own gain #voteleave on the 23 june and boot him out on the 24 june https://t.co/pSeZSAeGZW  |  #toryelectionfraud   No longer news for #bbcdp tho  https://t.co/6oyOsHFklr  |  @LeaveEUOfficial @DrewEdgar_CB Utter utter rubbish controlled migration is the only way and that means we must #VoteLeave  |  Poll: Would LEAVE Vote be the best way to re-negotiate being a member of the EU? #EUref #Brexit #Remain #VoteLeave  |  @StarSparkle_UK @annafbeswick @DanHannanMEP @MichaelWhite or hope to if we remain. Let's #VoteLeave and show them we won't be dictated to.  |  former dir of IMF has said the OECD,IMF and the rest are just pulling figures from the sky and are WRONG #VoteLeave https://t.co/CZGK3Ah8QK  |  For those who think the EU protects your workers rights please see this image. #voteleave https://t.co/8VFs4oeCsq @The_TUC  |  leave_eu_oldham: LeaveEUOfficial: RT labourleave: Every left-leaning argument in favour of #Brexit available here &gt; …  |  @broughstar1 @KateHoeyMP @tonybaloni1964 @labourleave this is true. Labour would have cake walked the next election with a #VoteLeave stance  |  EU debate on Immigration - BBC News at 5 https://t.co/GBCGRv7xby #voteleave for a FAIRER immigration system @sikhsforbritain @vote_leave  |  Hilary Benn, our young people will have no chance of getting jobs and housing if we remain in EU and support unabated immigration. #brexit  |  @68dagger @DiligentTruth stop the NWO in its tracks #VoteLeave  |  #ITVEURef #VoteLeave Trading with the world is better than just trading with the EU the world is bigger  |  George Osborne walking to work today. #BBCDebate #VoteLeave https://t.co/IDSI3o80Wj  |  George Osborne all snuggled up in his EU safety blanket. #BBCDebate #VoteLeave https://t.co/TR7B27H5r4  |  @labourleave @GiselaStuart count me in. Highly disappointed in my local Labour wanting In, they don't represent me #VoteLeave  |  UK-wide, Remainers are changing to #VoteLeave because arguments, not personalities or fear, will win it. #Brexit  https://t.co/tqXoOUIxqi  |  #bbcdp @afneil interview is informative, not project fear or personal insult, intelligent debate. @Nigel_Farage respects @afneil  |  @WillBlackWriter @annafbeswick @BolshieBear PM has Fucked up the country #VoteLeave  |  How the EU spends your money - Scandalous expense claims by EU officials uncovered https://t.co/BEhJEHX7Vt #voteleave via @vote_leave  |  Countries in the EU cannot afford to abandon one of their largest markets. UK will continue to trade with EU countries if we #voteleave  |  Our economy will be stronger outside the EU - we will have the power to strike trade deals, creating 300,000 new jobs. #bbcqt #voteleave  |  The PM says we have influence in the EU - so why have we been outvoted EVERY time we have opposed an EU law?! #bbcqt #voteleave #takecontrol  |  Someone has to win this referendum. Do you really want it to be this lot of arrogant millionaires ? #voteleave https://t.co/wuBAmEEUJg  |  Cameron aide backs #Brexit #VoteLeave   https://t.co/GSo6hySzu1  |  @opheliasbrother @annafbeswick madness? like an EU army, EU tax, EURO currency crisis , Merkel inspired immigration crisis? #voteleave  |  As an internationalist, it is grossly unfair that a Burundian doesn't have the same opportunities to come to UK as a Bulgarian. #VoteLeave  |  REVEALED: EU to rubber stamp its HUGE £1 Trillion budget NEXT week after #EUref delay https://t.co/EhViulsqmd #VoteLeave #Brexit  |  A moment of calm before the storm. Always posing! Polls close in just over 3 hours! #VoteLeave https://t.co/KD6LWwMgD7  |  #Remain You have been found out its time to grow up and get on with it this is democracy and this is how it works https://t.co/fA9EVzpz88  |  #Remain You have been found out https://t.co/c13B1IwSNT  |  #Remain #VoteLeave #EUref https://t.co/coZnWzUQuZ	1	1		
2317	Going global is not just a piece of rhetoric - it's the next step to enhance Britain's voice in the world https://t.co/JAWgcudmHz #Brexit  |  A credible transition plan de-risks Brexit. EFTA EEA is a good first step https://t.co/G9kl6cRI7u #VoteLeave #EURef  |  The economics of Brexit - @TonyE_42 explains why leaving really is the safer choice https://t.co/PBBdLShIuM #EURef #VoteLeave  |  A #brexit movie with substance - Flexcit  https://t.co/YmBNPEGPgH (pt 1)  https://t.co/ggIFlbfPQM (pt 2)  https://t.co/7XHDt7CQik (pt3)  |  A calm, rational case for #Brexit. Not sure about leaving? Read this. What have you got to lose? https://t.co/z0vAe7AaJ9 @StrongerIn  |  Just watched Newsnight. Or should I have said a party political broadcast for the remain party? Evan Davis served his masters well. #brexit  |  A vote to leave is a vote to bring power closer to the people. A vote to remain is a vote to push power further away. #Brexit #EURef  |  So Merkel wants the UK to stay in the EU but refused CAMERON any substantial reforms. Germany expects but the UK has one response. #Leave  |  An increasingly common one too. Those who don't know the difference need to read this #BBCQT https://t.co/Lj7aZH2KLP https://t.co/LStnk9rclR  |  As part of a transitional approach to Brexit... this makes leaving perfectly safe... https://t.co/Lj7aZH2KLP #Brexit https://t.co/Is7Fzi9LuB  |  Remain MPs admit Britain can leave the EU and remain in the Single Market. https://t.co/ikA31DIZJc #EURef #Brexit #VoteLeave #StrongerIn  |  A safe #EEA type exit is only the first step on our #Brexit journey https://t.co/AugkG1DnJ5 #EURef #VoteLeave  |  WATCH: JOHN MOULTON warns Remain talking "economic claptrap" https://t.co/pLMZ1QirYH #VoteLeave #EUref #Brexit https://t.co/FeC0w9zSPC  |  How dare sturgeon say peace in Europe is down to the eu when the eu did NOTHING in Bosnia &amp;allowed mass murder till NATO sorted it.#ITVEURef  |  TTIP has been all but ignored by the Remain campaign @WhiteWednesday #VoteLeave #Brexit https://t.co/17YyQYBiNV  |  We're not electing Vote Leave, we're voting to leave the EU, &amp; we can do so with minimal economic disruption. https://t.co/DneocMsmyl #EURef  |  Newsflash: Britain is not Norway. An #EEA transition holds no fear ... https://t.co/4LFTGkwfDF #EURef https://t.co/v3YYe1f6NM  |  The EU is not the Single Market so that doesn't count. Are there any credible reasons to remain? https://t.co/jzwogf9PiO #EURef #Brexit  |  "Brexit camp has significant lead": https://t.co/GMybRbHjP9 #voteleave #EUreferendum #Brexit  |  Osborne's fantasy budget is as irrelevant as Vote Leave Ltd's proposals. #Brexit is bigger than both of them. https://t.co/AsQvmoZp8K #EURef  |  Dear uncommitted Remainers, UK could retain Single Market participation after EU exit https://t.co/D0dmnvRHxd #EURef https://t.co/s7nHTgDcdm  |  #Brexit would provide a shot in the arm for democracy and a start to reviving Britain's political culture https://t.co/9VPKKy5tF4 #EURef  |  Let's kickstart democracy in our country.  #VoteLeave on the 23rd.  #brexit #flexcit #EUref  |  A simple guide to #Brexit from @LeaveHQ https://t.co/nSI8vUYjRR #EURef  |  Obvious but important point: #Brexit is not about "leaving Europe" it's about reorienting our relationship with EU. https://t.co/k7GrqJuflT  |  Voting to leave is a power grab only the people can make. #Leave #Brexit #EUref  |  I Support Brexit Because I'm Left-Wing,Not in Spite of It https://t.co/cAnXjXmHer via @HPYoungVoices @adamhamdy @malccarter #voteleave#euref  |  @PoliticsSense It was a marriage arranged on our behalf, behind our backs. Now we understand, we need to #VoteLeave  |  PROJECT SNEER: Luvvies Say Leavers are 'Thick Idiots' https://t.co/6CurPwXgkh #bbcdp #bbcqt #bbcdebate #EUREf #VoteLeave #TakeControl #Marr  |  Chancellor should provide reassurance that UK will pursue economically secure #Brexit route. https://t.co/4LFTGkwfDF https://t.co/j59Lbcmlzp  |  #Remain's legal challenge to require Parliament vote on invoking Article 50 has been comprehensively dismantled: https://t.co/2TpoyRfp1X  |  We Dutch should team up with #UK in negotiating trade deals with countries before activating art 50! Let's show the #EU balls #brexit #nexit  |  Remainiacs never admit had it not been for #ProjectFear Reluctant Remainers could just as easily voted their Leave conscience #BrexitDebate	1	1		
2369	Last time we trusted a Tory PM to get a deal with Europe that would be in Britain's interest.. #VoteLeave #Brexit https://t.co/E3EXPZQDgv  |  Read This And Then #VoteLeave  https://t.co/ZrUEWSYsIS  |  I am not moved by the threats made by the Dutch Prime Minister. If we #VoteLeave it is more likely he will be unseated by his own electorate  |  Why My American Students Used to Gasp in Horror When they Learnt About the EU https://t.co/6eDFlYKMYR via @heatstreet #VoteLeave #LeaveEU  |  @ChukaUmunna says Britain has influence in EU, we couldn't even stop the #EU tampon tax #Voteleave #InOrOut #ExpressEUDebate #EUref #Brexit  |  @JuliaHB1 Why didn't @sarahwollaston stay in @vote_leave and reform it from inside? Better to be at the table... blah blah blah... #Brexit  |  TTIP has been all but ignored by the Remain campaign @WhiteWednesday #VoteLeave #Brexit https://t.co/17YyQYBiNV  |  On 23rd #VoteLeave - letter in local paper sums up bureaucracy of EU. @BorisJohnson @LouiseMensch @DouglasCarswell https://t.co/x21CeRoR94  |  @icelenny @NoThanksEU I think you will find the rest of the world is bigger and better trade zone than the corrupt EU. #VoteLeave  |  Let's start a new poll. #VoteLeave #VoteRemain Should we remain or leave the EU?  |  Love Europe detest the EU #VoteLeave https://t.co/OBUWHoSy8A  |  "Leading not leaving" is a false premise. Core EU won't be led by non- €Z / Schengen country. And the Commission won't be led. #VoteLeave  |  Why wud the UK NOT want to cut the economic &amp; political ties that has created this devastation parts of EU  #brexit https://t.co/821JyNVZZs  |  BRITISH STEEL CHIEF: Simon Boyd says "Free us from shackles of EU" https://t.co/oAs0j8uY1Q #VoteLeave #EUref #Brexit https://t.co/d98TgPHxgl  |  RT if you support the fishermen, FAV if you support the Remains  #thames #voteleave https://t.co/PHHO5cY1eN  |  Mmm change of mind fella? Brexit #LeaveEU June 23 #IndependenceDay https://t.co/VTZ3P1ZEdN  |  Last poll before the EU Referendum! Are you/would you vote in or out? RT after.  #euref #voteleave #voteremain #eu  |  Lets bang the nails in now!!!! #VoteLeave #Brexit https://t.co/RdrbADHiCb  |  #BBC vs #Reality.... Why BBC not report the truth? #euref #brexit #leaveEU #voteLeave NOT #StrongerIN  / #remain https://t.co/es9UXkPkKA  |  Britain! You all know there is something wrong with the #EU. #Brexit #VoteLeave there is no other way to change it https://t.co/Us8DmwPm5S  |  Why are the remainers still talking of division and hate?Working class and the elderly are now called bigots and racist #Lexit #VoteLeave  |  As TOTALLY PREDICTED by VoteLeave campaign; but NOWHERE to be found on #BBC.  https://t.co/D8VEBAr6K4  |  This wasn't exactly big news yesterday, but it proves that #VoteLeave were telling the truth about Turkey https://t.co/leJSnMXBnD #Brexit  |  We are the 52% ❤ The biggest vote in British history, despite all that was thrown at us. #marchforeurope #VoteLeave https://t.co/TsLlWLJ81a  |  Brexit: The End of the Beginning, Schrödinger's cat - https://t.co/U6ohNWLWki #EUref  #Brexit  #VoteLeave https://t.co/yaMyM2ZpzH  |  #Germany is a giant mess. #DeutscheBank = giant mess. #brexit #ECB #GermanBankingCrisis #ECB #Bonds https://t.co/SeMgxRBpog  |  So as the pound stabilises, UK stocks and employment hit record highs, FDI increases, should we take the Remoaners to court? #Brexit	1	1		
4488	Wonderful #Brexit article from Church of England's George Carey. Read and decide #StrongerIn or #VoteLeave https://t.co/qYmnxfhx56  |  Hey Remain great debate thanks would love to stay longer but the open sea beckons. #BBCDebate https://t.co/s46U98jcrv  |  Just brilliant, let's fly the coop. #Brexit #VoteLeave full video here: https://t.co/Ex9S7nHI0x https://t.co/pOjCG9INbe	1	1		
372	@John_J_C_Moss @Promote_Thanet leaving the union would be a massive gamble with the economy one I feel we cannot afford to take #RemainINEU  |  @John_J_C_Moss @Promote_Thanet Brexit would do much more damage to the UK, a step into the unknown #StrongerIn	-1	-1		
